"","Aircraft.Make","year","count"
"1","BOEING",1980,519
"2","BOEING",1979,497
"3","BOEING",1978,468
"4","BOEING",1990,331
"5","BOEING",1987,326
"6","BOEING",1986,310
"7","BOEING",1989,309
"8","BOEING",1981,298
"9","BOEING",1988,282
"10","BOEING",1985,280
"11","BOEING",1991,279
"12","BOEING",1992,248
"13","BOEING",1999,218
"14","BOEING",1983,194
"15","BOEING",2000,191
"16","BOEING",1982,189
"17","BOEING",1984,189
"18","BOEING",1995,178
"19","BOEING",1993,176
"20","BOEING",1996,176
"21","BOEING",1997,176
"22","BOEING",1998,166
"23","BOEING",1994,149
"24","BOEING",2001,138
"25","BOEING",2002,110
"26","BOEING",2004,100
"27","BOEING",2003,95
"28","LOCKHEED",1978,84
"29","LOCKHEED",1980,83
"30","BOEING",2005,71
"31","LOCKHEED",1979,66
"32","BOEING",2008,60
"33","LOCKHEED",1981,59
"34","BOEING",2006,57
"35","BOEING",2007,57
"36","BOEING",2009,52
"37","BOEING",2011,50
"38","BOEING",2010,44
"39","BOEING",2012,44
"40","LOCKHEED",1986,43
"41","LOCKHEED",1987,39
"42","LOCKHEED",1988,39
"43","BOEING",2014,33
"44","LOCKHEED",1990,32
"45","LOCKHEED",1982,29
"46","LOCKHEED",1983,28
"47","LOCKHEED",1985,27
"48","BOEING",2017,24
"49","LOCKHEED",1989,24
"50","AIRBUS",2005,22
"51","AIRBUS",2008,21
"52","BOEING",2016,21
"53","AIRBUS",2010,20
"54","AIRBUS",2002,19
"55","AIRBUS",2004,19
"56","AIRBUS",2006,19
"57","BOEING",2013,19
"58","BOEING",2015,19
"59","LOCKHEED",1984,19
"60","LOCKHEED",1991,19
"61","LOCKHEED",1992,19
"62","AIRBUS",2001,17
"63","AIRBUS",2003,17
"64","AIRBUS",2013,15
"65","LOCKHEED",1994,14
"66","AIRBUS",2007,13
"67","AIRBUS",2018,13
"68","AIRBUS",1987,12
"69","AIRBUS",2009,12
"70","LOCKHEED",1993,12
"71","AIRBUS",2000,11
"72","AIRBUS",2012,11
"73","AIRBUS",2017,11
"74","AIRBUS",1992,10
"75","AIRBUS",1995,10
"76","LOCKHEED",1997,10
"77","AIRBUS",1991,9
"78","AIRBUS",1993,9
"79","AIRBUS",1998,9
"80","AIRBUS",1999,9
"81","AIRBUS",2011,9
"82","AIRBUS",2014,9
"83","LOCKHEED",1995,9
"84","AIRBUS",1997,8
"85","AIRBUS",2016,8
"86","BOEING",2018,8
"87","LOCKHEED",1996,8
"88","LOCKHEED",1998,8
"89","AIRBUS",1989,7
"90","AIRBUS",1990,7
"91","LOCKHEED",2000,7
"92","AIRBUS",1980,6
"93","AIRBUS",1994,6
"94","AIRBUS",1996,6
"95","AIRBUS",2015,6
"96","AIRBUS",1981,4
"97","AIRBUS",1983,4
"98","AIRBUS",1985,4
"99","AIRBUS",1986,4
"100","LOCKHEED",2006,4
"101","AIRBUS",1982,3
"102","LOCKHEED",1999,3
"103","LOCKHEED",2001,3
"104","LOCKHEED",2002,3
"105","LOCKHEED",2004,3
"106","LOCKHEED",2010,3
"107","LOCKHEED",2012,3
"108","AIRBUS",1978,2
"109","AIRBUS",1979,2
"110","AIRBUS",1988,2
"111","LOCKHEED",2005,2
"112","LOCKHEED",2007,2
"113","LOCKHEED",2008,1
"114","LOCKHEED",2009,1
"115","LOCKHEED",2011,1
"116","LOCKHEED",2014,1
"117","LOCKHEED",2015,1
