"","year","month","count"
"1",1978,1,406
"2",1978,2,357
"3",1978,3,456
"4",1978,4,385
"5",1978,5,424
"6",1978,6,458
"7",1978,7,473
"8",1978,8,458
"9",1978,9,411
"10",1978,10,371
"11",1978,11,316
"12",1978,12,377
"13",1979,1,401
"14",1979,2,396
"15",1979,3,371
"16",1979,4,393
"17",1979,5,391
"18",1979,6,436
"19",1979,7,438
"20",1979,8,466
"21",1979,9,435
"22",1979,10,393
"23",1979,11,389
"24",1979,12,312
"25",1980,1,357
"26",1980,2,378
"27",1980,3,399
"28",1980,4,402
"29",1980,5,396
"30",1980,6,407
"31",1980,7,450
"32",1980,8,356
"33",1980,9,391
"34",1980,10,361
"35",1980,11,319
"36",1980,12,337
"37",1981,1,333
"38",1981,2,310
"39",1981,3,340
"40",1981,4,338
"41",1981,5,339
"42",1981,6,378
"43",1981,7,367
"44",1981,8,333
"45",1981,9,317
"46",1981,10,301
"47",1981,11,299
"48",1981,12,250
"49",1982,1,294
"50",1982,2,234
"51",1982,3,267
"52",1982,4,228
"53",1982,5,254
"54",1982,6,224
"55",1982,7,285
"56",1982,8,266
"57",1982,9,280
"58",1982,10,252
"59",1982,11,178
"60",1982,12,200
"61",1983,1,198
"62",1983,2,213
"63",1983,3,248
"64",1983,4,203
"65",1983,5,272
"66",1983,6,284
"67",1983,7,302
"68",1983,8,255
"69",1983,9,249
"70",1983,10,207
"71",1983,11,192
"72",1983,12,187
"73",1984,1,251
"74",1984,2,205
"75",1984,3,211
"76",1984,4,241
"77",1984,5,255
"78",1984,6,251
"79",1984,7,285
"80",1984,8,278
"81",1984,9,232
"82",1984,10,214
"83",1984,11,233
"84",1984,12,214
"85",1985,1,212
"86",1985,2,246
"87",1985,3,239
"88",1985,4,274
"89",1985,5,285
"90",1985,6,261
"91",1985,7,323
"92",1985,8,309
"93",1985,9,297
"94",1985,10,281
"95",1985,11,243
"96",1985,12,265
"97",1986,1,237
"98",1986,2,281
"99",1986,3,289
"100",1986,4,297
"101",1986,5,320
"102",1986,6,292
"103",1986,7,338
"104",1986,8,305
"105",1986,9,283
"106",1986,10,302
"107",1986,11,269
"108",1986,12,225
"109",1987,1,250
"110",1987,2,237
"111",1987,3,285
"112",1987,4,302
"113",1987,5,294
"114",1987,6,329
"115",1987,7,308
"116",1987,8,330
"117",1987,9,269
"118",1987,10,290
"119",1987,11,254
"120",1987,12,267
"121",1988,1,289
"122",1988,2,283
"123",1988,3,309
"124",1988,4,304
"125",1988,5,352
"126",1988,6,352
"127",1988,7,352
"128",1988,8,366
"129",1988,9,324
"130",1988,10,322
"131",1988,11,294
"132",1988,12,306
"133",1989,1,298
"134",1989,2,240
"135",1989,3,342
"136",1989,4,316
"137",1989,5,357
"138",1989,6,344
"139",1989,7,384
"140",1989,8,334
"141",1989,9,289
"142",1989,10,357
"143",1989,11,304
"144",1989,12,265
"145",1990,1,296
"146",1990,2,248
"147",1990,3,344
"148",1990,4,349
"149",1990,5,341
"150",1990,6,343
"151",1990,7,364
"152",1990,8,340
"153",1990,9,308
"154",1990,10,340
"155",1990,11,286
"156",1990,12,304
"157",1991,1,260
"158",1991,2,256
"159",1991,3,331
"160",1991,4,352
"161",1991,5,327
"162",1991,6,313
"163",1991,7,416
"164",1991,8,385
"165",1991,9,288
"166",1991,10,339
"167",1991,11,269
"168",1991,12,232
"169",1992,1,258
"170",1992,2,224
"171",1992,3,277
"172",1992,4,283
"173",1992,5,283
"174",1992,6,322
"175",1992,7,323
"176",1992,8,299
"177",1992,9,279
"178",1992,10,272
"179",1992,11,213
"180",1992,12,219
"181",1993,1,220
"182",1993,2,215
"183",1993,3,233
"184",1993,4,247
"185",1993,5,252
"186",1993,6,234
"187",1993,7,298
"188",1993,8,257
"189",1993,9,244
"190",1993,10,202
"191",1993,11,178
"192",1993,12,209
"193",1994,1,206
"194",1994,2,193
"195",1994,3,252
"196",1994,4,229
"197",1994,5,245
"198",1994,6,222
"199",1994,7,262
"200",1994,8,215
"201",1994,9,210
"202",1994,10,196
"203",1994,11,189
"204",1994,12,198
"205",1995,1,178
"206",1995,2,200
"207",1995,3,235
"208",1995,4,216
"209",1995,5,249
"210",1995,6,252
"211",1995,7,268
"212",1995,8,252
"213",1995,9,204
"214",1995,10,210
"215",1995,11,187
"216",1995,12,152
"217",1996,1,164
"218",1996,2,165
"219",1996,3,227
"220",1996,4,173
"221",1996,5,231
"222",1996,6,275
"223",1996,7,243
"224",1996,8,251
"225",1996,9,206
"226",1996,10,216
"227",1996,11,181
"228",1996,12,133
"229",1997,1,159
"230",1997,2,173
"231",1997,3,202
"232",1997,4,180
"233",1997,5,223
"234",1997,6,222
"235",1997,7,238
"236",1997,8,213
"237",1997,9,208
"238",1997,10,212
"239",1997,11,158
"240",1997,12,167
"241",1998,1,168
"242",1998,2,148
"243",1998,3,167
"244",1998,4,191
"245",1998,5,178
"246",1998,6,196
"247",1998,7,217
"248",1998,8,211
"249",1998,9,205
"250",1998,10,202
"251",1998,11,132
"252",1998,12,164
"253",1999,1,185
"254",1999,2,149
"255",1999,3,190
"256",1999,4,214
"257",1999,5,205
"258",1999,6,223
"259",1999,7,240
"260",1999,8,230
"261",1999,9,217
"262",1999,10,200
"263",1999,11,188
"264",1999,12,162
"265",2000,1,150
"266",2000,2,166
"267",2000,3,187
"268",2000,4,167
"269",2000,5,202
"270",2000,6,246
"271",2000,7,250
"272",2000,8,227
"273",2000,9,218
"274",2000,10,181
"275",2000,11,140
"276",2000,12,156
"277",2001,1,125
"278",2001,2,134
"279",2001,3,184
"280",2001,4,193
"281",2001,5,179
"282",2001,6,189
"283",2001,7,241
"284",2001,8,223
"285",2001,9,168
"286",2001,10,162
"287",2001,11,146
"288",2001,12,130
"289",2002,1,152
"290",2002,2,136
"291",2002,3,167
"292",2002,4,188
"293",2002,5,192
"294",2002,6,192
"295",2002,7,177
"296",2002,8,197
"297",2002,9,176
"298",2002,10,157
"299",2002,11,148
"300",2002,12,99
"301",2003,1,125
"302",2003,2,141
"303",2003,3,157
"304",2003,4,160
"305",2003,5,155
"306",2003,6,181
"307",2003,7,179
"308",2003,8,141
"309",2003,9,175
"310",2003,10,196
"311",2003,11,136
"312",2003,12,108
"313",2004,1,134
"314",2004,2,146
"315",2004,3,161
"316",2004,4,137
"317",2004,5,173
"318",2004,6,193
"319",2004,7,170
"320",2004,8,163
"321",2004,9,153
"322",2004,10,146
"323",2004,11,129
"324",2004,12,97
"325",2005,1,101
"326",2005,2,99
"327",2005,3,133
"328",2005,4,124
"329",2005,5,150
"330",2005,6,147
"331",2005,7,177
"332",2005,8,159
"333",2005,9,150
"334",2005,10,140
"335",2005,11,118
"336",2005,12,113
"337",2006,1,122
"338",2006,2,97
"339",2006,3,146
"340",2006,4,123
"341",2006,5,153
"342",2006,6,133
"343",2006,7,149
"344",2006,8,129
"345",2006,9,135
"346",2006,10,110
"347",2006,11,93
"348",2006,12,117
"349",2007,1,92
"350",2007,2,106
"351",2007,3,128
"352",2007,4,113
"353",2007,5,161
"354",2007,6,150
"355",2007,7,166
"356",2007,8,151
"357",2007,9,144
"358",2007,10,128
"359",2007,11,120
"360",2007,12,99
"361",2008,1,135
"362",2008,2,137
"363",2008,3,134
"364",2008,4,139
"365",2008,5,177
"366",2008,6,145
"367",2008,7,159
"368",2008,8,150
"369",2008,9,115
"370",2008,10,122
"371",2008,11,97
"372",2008,12,95
"373",2009,1,93
"374",2009,2,86
"375",2009,3,105
"376",2009,4,112
"377",2009,5,127
"378",2009,6,108
"379",2009,7,135
"380",2009,8,119
"381",2009,9,113
"382",2009,10,117
"383",2009,11,112
"384",2009,12,115
"385",2010,1,82
"386",2010,2,106
"387",2010,3,125
"388",2010,4,149
"389",2010,5,137
"390",2010,6,127
"391",2010,7,160
"392",2010,8,142
"393",2010,9,132
"394",2010,10,112
"395",2010,11,95
"396",2010,12,87
"397",2011,1,79
"398",2011,2,100
"399",2011,3,110
"400",2011,4,117
"401",2011,5,138
"402",2011,6,117
"403",2011,7,137
"404",2011,8,146
"405",2011,9,128
"406",2011,10,110
"407",2011,11,99
"408",2011,12,100
"409",2012,1,104
"410",2012,2,95
"411",2012,3,114
"412",2012,4,118
"413",2012,5,119
"414",2012,6,131
"415",2012,7,145
"416",2012,8,125
"417",2012,9,130
"418",2012,10,103
"419",2012,11,99
"420",2012,12,82
"421",2013,1,82
"422",2013,2,100
"423",2013,3,102
"424",2013,4,127
"425",2013,5,132
"426",2013,6,116
"427",2013,7,129
"428",2013,8,145
"429",2013,9,114
"430",2013,10,93
"431",2013,11,76
"432",2013,12,83
"433",2014,1,83
"434",2014,2,72
"435",2014,3,102
"436",2014,4,104
"437",2014,5,109
"438",2014,6,121
"439",2014,7,124
"440",2014,8,105
"441",2014,9,85
"442",2014,10,87
"443",2014,11,87
"444",2014,12,77
"445",2015,1,76
"446",2015,2,67
"447",2015,3,107
"448",2015,4,123
"449",2015,5,94
"450",2015,6,102
"451",2015,7,111
"452",2015,8,98
"453",2015,9,95
"454",2015,10,93
"455",2015,11,93
"456",2015,12,77
"457",2016,1,82
"458",2016,2,104
"459",2016,3,88
"460",2016,4,108
"461",2016,5,106
"462",2016,6,116
"463",2016,7,121
"464",2016,8,136
"465",2016,9,104
"466",2016,10,99
"467",2016,11,87
"468",2016,12,60
"469",2017,1,91
"470",2017,2,83
"471",2017,3,97
"472",2017,4,95
"473",2017,5,112
"474",2017,6,120
"475",2017,7,140
"476",2017,8,99
"477",2017,9,85
"478",2017,10,96
"479",2017,11,77
"480",2017,12,74
"481",2018,1,78
"482",2018,2,68
"483",2018,3,55
"484",2018,4,68
"485",2018,5,82
"486",2018,6,89
"487",2018,7,27
"488",2018,8,6
"489",2018,9,4
